Aachen,Valid,L5,21,Fell,01/01/1880 12:00:00 AM,1,50.775000,6.083330,"50.775000,6.083330"
Aarhus,Valid,H6,720,Fell,01/01/1951 12:00:00 AM,2,56.183330,10.233330,"56.183330,10.233330"
Abee,Valid,EH4,107000,Fell,01/01/1952 12:00:00 AM,6,54.216670,-113.000000,"54.216670,-113.000000"
Acapulco,Valid,Acapulcoite,1914,Fell,01/01/1976 12:00:00 AM,10,16.883330,-99.900000,"16.883330,-99.900000"
Achiras,Valid,L6,780,Fell,01/01/1902 12:00:00 AM,370,-33.166670,-64.950000,"-33.166670,-64.950000"
Adhi Kot,Valid,EH4,4239,Fell,01/01/1919 12:00:00 AM,379,32.100000,71.800000,"32.100000,71.800000"
Adzhi-Bogdo stone,Valid,LL3-6,910,Fell,01/01/1949 12:00:00 AM,390,44.833330,95.166670,"44.833330,95.166670"
Agen,Valid,H5,30000,Fell,01/01/1814 12:00:00 AM,392,44.216670,0.616670,"44.216670,0.616670"
Aguada,Valid,L6,1620,Fell,01/01/1930 12:00:00 AM,398,-31.600000,-65.233330,"-31.600000,-65.233330"
Aguila Blanca,Valid,L,1440,Fell,01/01/1920 12:00:00 AM,417,-30.866670,-64.550000,"-30.866670,-64.550000"
Aioun el Atrouss,Valid,Diogenite-pm,1000,Fell,01/01/1974 12:00:00 AM,423,16.398060,-9.570280,"16.398060,-9.570280"
Aïr,Valid,L6,24000,Fell,01/01/1925 12:00:00 AM,424,19.083330,8.383330,"19.083330,8.383330"
Akaba,Valid,L6,779,Fell,01/01/1949 12:00:00 AM,426,29.516670,35.050000,"29.516670,35.050000"
Akbarpur,Valid,H4,1800,Fell,01/01/1838 12:00:00 AM,427,29.716670,77.950000,"29.716670,77.950000"
Akwanga,Valid,H,3000,Fell,01/01/1959 12:00:00 AM,432,8.916670,8.433330,"8.916670,8.433330"
Akyumak,Valid,"Iron IVA",50000,Fell,01/01/1981 12:00:00 AM,433,39.916670,42.816670,"39.916670,42.816670"
Al Rais,Valid,CR2-an,160,Fell,01/01/1957 12:00:00 AM,446,24.416670,39.516670,"24.416670,39.516670"
Al Zarnkh,Valid,LL5,700,Fell,01/01/2001 12:00:00 AM,447,13.660330,28.960000,"13.660330,28.960000"
Alais,Valid,CI1,6000,Fell,01/01/1806 12:00:00 AM,448,44.116670,4.083330,"44.116670,4.083330"
Albareto,Valid,L/LL4,2000,Fell,01/01/1766 12:00:00 AM,453,44.650000,11.016670,"44.650000,11.016670"
Alberta,Valid,L,625,Fell,01/01/1949 12:00:00 AM,454,2.000000,22.666670,"2.000000,22.666670"
Alby sur Chéran,Valid,Eucrite-mmict,252,Fell,01/01/2002 12:00:00 AM,458,45.821330,6.015330,"45.821330,6.015330"
Aldsworth,Valid,LL5,700,Fell,01/01/1835 12:00:00 AM,461,51.783330,-1.783330,"51.783330,-1.783330"
Aleppo,Valid,L6,3200,Fell,01/01/1873 12:00:00 AM,462,36.233330,37.133330,"36.233330,37.133330"
Alessandria,Valid,H5,908,Fell,01/01/1860 12:00:00 AM,463,44.883330,8.750000,"44.883330,8.750000"
Alexandrovsky,Valid,H4,9251,Fell,01/01/1900 12:00:00 AM,465,50.950000,31.816670,"50.950000,31.816670"
Alfianello,Valid,L6,228000,Fell,01/01/1883 12:00:00 AM,466,45.266670,10.150000,"45.266670,10.150000"
Allegan,Valid,H5,32000,Fell,01/01/1899 12:00:00 AM,2276,42.533330,-85.883330,"42.533330,-85.883330"
Allende,Valid,CV3,2000000,Fell,01/01/1969 12:00:00 AM,2278,26.966670,-105.316670,"26.966670,-105.316670"
Almahata Sitta,Valid,Ureilite-an,3950,Fell,01/01/2008 12:00:00 AM,48915,20.745750,32.412750,"20.745750,32.412750"
Alta'ameem,Valid,LL5,6000,Fell,01/01/1977 12:00:00 AM,2284,35.273330,44.215560,"35.273330,44.215560"
Ambapur Nagla,Valid,H5,6400,Fell,01/01/1895 12:00:00 AM,2290,27.666670,78.250000,"27.666670,78.250000"
Andhara,Valid,Stone-uncl,2700,Fell,01/01/1880 12:00:00 AM,2294,26.583330,85.566670,"26.583330,85.566670"
Andover,Valid,L6,3200,Fell,01/01/1898 12:00:00 AM,2295,44.616670,-70.750000,"44.616670,-70.750000"
Andreevka,Valid,L3,600,Fell,01/01/1969 12:00:00 AM,2296,48.700000,37.500000,"48.700000,37.500000"
Andura,Valid,H6,17900,Fell,01/01/1939 12:00:00 AM,2298,20.883330,76.866670,"20.883330,76.866670"
Angra dos Reis stone,Valid,Angrite,1500,Fell,01/01/1869 12:00:00 AM,2302,-22.966670,-44.316670,"-22.966670,-44.316670"
Ankober,Valid,H4,6500,Fell,01/01/1942 12:00:00 AM,2304,9.533330,39.716670,"9.533330,39.716670"
Anlong,Valid,H5,2500,Fell,01/01/1971 12:00:00 AM,2305,25.150000,105.183330,"25.150000,105.183330"
Aomori,Valid,L6,320,Fell,01/01/1984 12:00:00 AM,2313,40.810560,140.785560,"40.810560,140.785560"
Appley Bridge,Valid,LL6,15000,Fell,01/01/1914 12:00:00 AM,2318,53.583330,-2.716670,"53.583330,-2.716670"
Apt,Valid,L6,3200,Fell,01/01/1803 12:00:00 AM,2320,43.866670,5.383330,"43.866670,5.383330"
Arbol Solo,Valid,H5,810,Fell,01/01/1954 12:00:00 AM,2325,-33.000000,-66.000000,"-33.000000,-66.000000"
Archie,Valid,H6,5070,Fell,01/01/1932 12:00:00 AM,2329,38.500000,-94.300000,"38.500000,-94.300000"
Arroyo Aguiar,Valid,H5,7450,Fell,01/01/1950 12:00:00 AM,2340,-31.416670,-60.666670,"-31.416670,-60.666670"
Asco,Valid,H6,41,Fell,01/01/1805 12:00:00 AM,2345,42.450000,9.033330,"42.450000,9.033330"
